FID,Identificacao_Ponto,Tipo_Ponto,Legenda_Vegetacao_Ponto,Latitude,Longitude,Nivel_Amostragem,Tecnica_Amostragem,Variavel_Medida_Amostragem,Forma_Geometrica_Usada_Amostra,Largura_Forma_Geometrica_Amostra_Primaria_metro,Comprimento_Forma_Geometrica_Amostra_Primaria_metro,Volume_Madeira_m3_ou_Lenha_m3stX100_por_Hectare,Total_Individuos_Ponto,Total_Especies_Ponto,the_geom
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d57,SD21ZD/RB/A.18,Inventário,Sa,-15:49:51,-55:09:03,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,9.8203,93,11,POINT (-55.15138806508851 -15.831481077900357)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d58,SD21ZD/RB/A.3,Inventário,Sa,-15:23:30,-55:26:39,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,13.6479,93,20,POINT (-55.44488505037255 -15.392195258863707)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d59,SD22VA/RB/A.222,Inventário,Fs,-12:55:49,-52:46:54,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,55.4132,123,28,POINT (-52.782265156681255 -12.930888466585845)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d5a,SD22VA/RB/A.223,Inventário,Fs,-12:56:29,-52:31:47,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,16.7379,44,14,POINT (-52.53029380762634 -12.941954102607417)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d5b,SD22VB/RB/A.207,Inventário,Fs,-12:16:26,-51:24:36,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,53.1489,97,26,POINT (-51.410606201318245 -12.274526648879451)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d5c,SD22VB/RB/A.224,Inventário,Fs,-12:41:11,-52:26:17,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,43.4368,105,26,POINT (-52.438674828918835 -12.687011154242963)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d5d,SD22VB/RB/A.225,Inventário,Fs,-12:33:41,-52:15:35,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,32.6173,74,23,POINT (-52.26025737131447 -12.561881874384518)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d5e,SD22VB/RB/A.226,Inventário,Fs,-12:36:46,-52:00:03,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,54.8674,111,30,POINT (-52.001474399646206 -12.613377411246272)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d5f,SD22VB/RB/A.227,Inventário,Fs,-12:53:00,-52:03:06,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,52.2119,123,35,POINT (-52.05229929518245 -12.883972987902713)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d60,SD22VB/RB/A.228,Inventário,Fs,-12:02:22,-51:47:57,reconhec,seletiva,circunferência CAP>=50cm;altura comercial,retangular,20,250,63.5134,128,30,POINT (-51.79986514356982 -12.040069470306916)
