FID,id_objeto,nome,nomeabrev,geometriaaproximada,emduto,tensaoeletrica,numcircuitos,especie,posicaorelativa,operacional,situacaofisica,id_produtor,id_elementoprodutor,geom
BC250_2017_Trecho_Energia_L.44,44,,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250014,58,"MULTILINESTRING ((-49.23192839 -16.694358076, -49.2310728309999 -16.6963380829999, -49.2296507569999 -16.704200933, -49.2294799809999 -16.7090253439999, -49.230237798000005 -16.717500084999898, -49.2310467149999 -16.7290933469999, -49.232511248 -16.742315918000003, -49.232863473 -16.754131457, -49.23484874 -16.769725406000003, -49.235460019 -16.790016508))"
BC250_2017_Trecho_Energia_L.45,45,LT 500 kV SERRA DA MESA/SAMAMBAIA C-3 GO/DF,LT 500 kV SERRA DA MESA/SAMAMBAIA C-3 GO/DF,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250014,14,"MULTILINESTRING ((-48.2794509289999 -13.83428751, -48.249322429 -13.85419201, -48.241908429 -13.978380510000001, -48.240698934 -14.0004398089999, -48.221196929 -14.377543010999899, -48.1750259359999 -14.9900759, -48.174127443 -15.0004455129999, -48.164711429 -15.1269145109999, -48.154117428999896 -15.4579215119999, -48.150801429 -15.535850012000001, -48.137057429 -15.738272012000001, -48.134119929 -15.883459511999899, -48.156283429 -15.9200465119999, -48.066664018000004 -15.9928018849999))"
BC250_2017_Trecho_Energia_L.46,46,LT 500 kV B.DESPACHO 3 /JAGUARA-SE C-2 MG,LT 500 kV B.DESPACHO 3 /JAGUARA-SE C-2 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,115,"MULTILINESTRING ((-47.31155619 -19.875037114, -46.500434485 -19.8940979029999, -45.2883991639999 -19.7604117019999))"
BC250_2017_Trecho_Energia_L.47,47,LT 500 kV B.DESPACHO 3 /NEVES 1 C-2 MG,LT 500 kV B.DESPACHO 3 /NEVES 1 C-2 MG,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250013,122,"MULTILINESTRING ((-45.239781057 -19.75202927, -44.901527040355944 -19.755411695980907))"
BC250_2017_Trecho_Energia_L.48,48,LT 500 kV B.DESPACHO 3 /SAO GOTARDO 2 C-1 MG,LT 500 kV B.DESPACHO 3 /SAO GOTARDO 2 C-1 MG,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250013,125,"MULTILINESTRING ((-46.031213688 -19.319816224, -45.481641426 -19.6584325159999, -45.2835559809999 -19.738617378999898))"
BC250_2017_Trecho_Energia_L.66,66,LT 138 kV RIO VERDE CLG/QUIRINOPOLIS C-1 GO,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250008,81,"MULTILINESTRING ((-50.8719549309999 -17.7654130139999, -50.796569431 -17.8768165139999, -50.44283899999989 -18.4375349999999))"
BC250_2017_Trecho_Energia_L.102,102,LT 500 kV IBICOARA /SAPEACU C-1 BA,,Não,Não,,,Transmissão,Emerso,Sim,Construída,250003,1788,"MULTILINESTRING ((-41.372939059 -13.437630129, -41.3727804549999 -13.437704416999999))"
BC250_2017_Trecho_Energia_L.103,103,LT 500 kV USINA XINGO /ANGELIM II C-1 AL/PE,,Não,Não,,,Transmissão,Emerso,Sim,Construída,250003,1931,"MULTILINESTRING ((-36.2444721749999 -8.84030290599998, -36.244602088 -8.84097683099998))"
BC250_2017_Trecho_Energia_L.567,567,LT 500 kV RIB.GONCALVES/S.JOAO PIAUI C-1 PI,,Não,Não,,,Transmissão,Emerso,Sim,Construída,250003,1949,"MULTILINESTRING ((-42.221177127 -8.36527662099996, -42.209930942 -8.35895072799997))"
BC250_2017_Trecho_Energia_L.49,49,LT 500 kV NOVA PONTE /SAO GOTARDO 2 C-1 MG,LT 500 kV NOVA PONTE /SAO GOTARDO 2 C-1 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,108,"MULTILINESTRING ((-47.6685963149999 -19.1597769269999, -47.492661428000005 -19.1501295149999, -47.4765249279999 -19.1520280149999, -47.452795427999895 -19.153926515000002, -47.4233704279999 -19.159621515, -47.384453928 -19.161520015, -47.354079928000004 -19.164367515, -47.320857928 -19.1691135149999, -47.269601928 -19.1748085149999, -47.228786428 -19.1805040149999, -47.199361927999995 -19.182402015, -47.153800927999995 -19.189046515, -47.104442928000005 -19.1928435149999, -47.073623928 -19.1996410149999, -47.032304428 -19.2051825149999, -46.994336927999896 -19.206132014999998, -46.949724927999995 -19.212776515, -46.908909928 -19.2156240149999, -46.870941928 -19.2232175149999, -46.8277314279999 -19.223525015, -46.786640927 -19.228221015, -46.74472542699989 -19.2293815149999, -46.703892427 -19.2352180149999, -46.663486427 -19.2409830149999, -46.623603927 -19.246663515, -46.587059427 -19.247005015000003, -46.547143427 -19.251701015, -46.50043276699989 -19.2522918519999, -46.4731809269999 -19.259919015, -46.435025427 -19.2663760149999, -46.403914427 -19.271072014999998, -46.3663459269999 -19.274594014999902, -46.3393539269999 -19.2789130149999, -46.286115427 -19.280928515, -46.0705527109999 -19.309419482))"
